# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
732763.70833 -15.00000 -15.61337 -22.34714 -9.39262 491.00000 468.84311 629.72000
732763.75000 -14.00000 -15.31675 -21.23500 -10.48017 480.00000 458.63955 619.88000
732763.79167 -13.00000 -14.71066 -21.42866 -12.26641 473.00000 464.48983 614.40000
732763.83333 -12.00000 -13.58658 -20.81485 -12.96178 458.00000 449.67195 609.92000
732763.87500 -14.00000 -13.36810 -20.44273 -13.95101 450.00000 442.12550 608.52000
732763.91667 -15.00000 -13.49229 -18.79707 -13.99145 446.00000 432.36085 609.52000
732763.95833 -16.00000 -14.12211 -18.22086 -13.20912 440.00000 427.63405 612.60000
732764.00000 -16.00000 -13.83198 -17.90409 -11.52256 436.00000 420.55769 610.84000
732764.04167 -17.00000 -14.49260 -18.65203 -11.42308 428.00000 417.24591 603.88000
732764.08333 -18.00000 -14.04367 -18.98013 -11.52380 425.00000 414.66157 598.92000
732764.12500 -18.00000 -14.56381 -19.33960 -12.24852 421.00000 407.05013 599.08000
732764.16667 -15.00000 -14.72786 -19.21800 -11.22088 417.00000 404.49468 596.32000
732764.20833 -13.00000 -13.26861 -18.57723 -10.22097 419.00000 398.19199 582.12000
732764.25000 -13.00000 -13.36603 -18.40199 -9.33788 409.00000 389.33403 568.32000
732764.29167 -13.00000 -13.35337 -18.91809 -9.38072 404.00000 388.27618 560.36000
732764.33333 -14.00000 -12.32997 -17.98123 -8.88952 397.00000 381.72347 555.44000
732764.37500 -16.00000 -12.67204 -18.47611 -8.35091 393.00000 374.47005 551.40000
732764.41667 -17.00000 -12.30633 -18.16980 -7.22158 388.00000 370.33236 543.28000
732764.45833 -16.00000 -12.35275 -17.81142 -7.79585 394.00000 362.99085 536.96000
732764.50000 -15.00000 -12.54130 -17.29190 -9.39699 387.00000 362.86703 531.84000
732764.54167 -14.00000 -12.07388 -16.56455 -10.07305 385.00000 363.39316 523.32000
732764.58333 -11.00000 -11.06164 -15.38917 -10.10987 386.00000 365.31256 516.40000
732764.62500 -7.00000 -8.81524 -13.15901 -9.98614 390.00000 379.48597 513.48000
