# time dst_kyoto dst_l1 dst_stb dst_pers
293.00000 -6.00000 -2.07629 -4.70557 -8.17833
294.00000 -6.00000 1.00000 -1.72947 -4.74799
295.00000 -3.00000 1.00000 -1.72947 -4.04701
296.00000 -3.00000 -4.97761 -6.03348 -3.79725
297.00000 -5.00000 -8.39573 -6.44347 -2.84020
298.00000 -5.00000 -8.39573 -6.44347 -8.45523
299.00000 0.00000 0.23161 -4.65332 -12.75744
300.00000 0.00000 1.00000 1.00000 -12.75744
301.00000 0.00000 1.00000 -0.19726 -9.64381
302.00000 0.00000 -3.27767 -0.19726 -4.31780
303.00000 -9.00000 -13.46921 -13.73740 -12.94449
304.00000 -9.00000 -13.46921 -19.05676 -20.18695
305.00000 -9.00000 -13.44177 -19.05676 -20.79092
306.00000 -9.00000 -14.06106 -11.05562 -20.79092
307.00000 -26.00000 -25.27378 -16.74444 -15.09315
308.00000 -26.00000 -29.31321 -16.74444 -14.25952
309.00000 -22.00000 -29.31321 -16.21684 -15.17397
310.00000 -22.00000 -20.88369 -10.82798 -18.20110
311.00000 -20.00000 -13.97175 -9.48918 -18.20110
312.00000 -19.00000 -9.46756 -9.48918 -11.77524
313.00000 -12.00000 -8.90994 -7.57905 -11.59300
314.00000 -12.00000 -10.58106 -3.76064 -9.94409
315.00000 -14.00000 -11.28372 -5.80134 -9.33800
316.00000 -14.00000 -13.59072 -5.81048 -6.78502
317.00000 -16.00000 -19.31588 -12.31601 -4.48202
318.00000 -23.00000 -30.48512 -33.71707 1.00000
319.00000 -24.00000 -30.48512 -33.95163 0.74772
320.00000 -24.00000 -27.28791 -33.95163 -28.31762
321.00000 -23.00000 -21.40284 -25.52428 -35.52774
322.00000 -23.00000 -20.88020 -19.79866 -35.52774
323.00000 -19.00000 -19.02573 -20.19408 -19.24250
324.00000 -19.00000 -24.73204 -20.19408 -18.32511
325.00000 -19.00000 -24.73204 -16.55574 -15.97436
326.00000 -19.00000 -24.63917 -12.51322 -12.59433
327.00000 -31.00000 -26.08054 -18.66295 -26.64736
328.00000 -31.00000 -26.73530 -20.04259 -27.96401
329.00000 -31.00000 -26.73530 -20.04259 -27.96401
330.00000 -19.00000 -18.51703 -16.66915 -24.99210
331.00000 -17.00000 -16.35229 -16.46689 -22.39910
332.00000 -17.00000 -15.95080 -11.00901 -22.39910
333.00000 -14.00000 -13.97296 -10.51460 -17.84139
334.00000 -9.00000 -9.24350 -9.27163 -12.94628
335.00000 -13.00000 -9.26938 -10.93056 -10.68086
336.00000 -13.00000 -9.26938 -10.93056 -14.19703
337.00000 -8.00000 -9.66302 -7.06520 -14.19703
338.00000 -12.00000 -17.80338 -2.87532 -12.64015
339.00000 -12.00000 -17.80338 -4.06612 -9.24878
340.00000 -4.00000 -9.31242 -4.06612 -8.30021
341.00000 1.00000 -1.95538 -3.91002 -8.30021
342.00000 1.00000 1.00000 -3.91002 -6.07828
343.00000 1.00000 1.00000 -2.92798 -2.63871
344.00000 -2.00000 -0.83651 -1.48015 -1.27764
345.00000 -2.00000 -0.83651 -1.48015 -0.08785
346.00000 -2.00000 0.74436 0.03579 -0.86924
347.00000 -3.00000 0.74436 -6.26548 -0.86924
348.00000 -3.00000 0.50687 -6.26548 0.70480
349.00000 1.00000 0.50687 1.00000 0.70480
350.00000 0.00000 -1.44154 -0.91271 1.00000
351.00000 -2.00000 -1.44154 -0.96896 -9.30213
352.00000 -2.00000 0.45728 -0.96896 -9.30213
353.00000 0.00000 1.00000 0.54469 -3.20159
354.00000 1.00000 1.00000 0.92123 1.00000
355.00000 -13.00000 -14.04737 -32.59321 1.00000
356.00000 -18.00000 -14.04737 -32.59321 1.00000
357.00000 -18.00000 -13.12937 -30.09235 -6.46522
358.00000 -10.00000 -5.92955 -28.01485 -10.66885
359.00000 -14.00000 -12.85073 -16.80269 -10.66885
360.00000 -25.00000 -17.40752 -26.48562 -10.47771
361.00000 -25.00000 -17.40752 -26.48562 -10.47771
362.00000 -20.00000 -13.45107 -24.43669 -22.07690
363.00000 -20.00000 -13.45107 -24.43669 -28.52220
364.00000 -15.00000 -11.86361 -22.11034 -28.52220
365.00000 -12.00000 -10.97136 -16.89111 -14.51163
366.00000 -9.00000 -8.76744 -14.23411 -9.35670
367.00000 -10.00000 -8.28661 -14.23411 -8.50267
368.00000 -10.00000 -5.25417 -13.32100 -7.31659
369.00000 -16.00000 -20.16688 -12.00445 -9.62277
370.00000 -24.00000 -29.71760 -30.21824 -9.78414
371.00000 -24.00000 -29.71760 -30.21824 -11.23358
372.00000 -40.00000 -43.31496 -30.80928 -23.08375
373.00000 -40.00000 -43.31496 -32.17013 -34.08064
374.00000 -33.00000 -33.86170 -32.17013 -34.08064
375.00000 -27.00000 -29.76706 -25.78284 -26.93824
376.00000 -25.00000 -24.72729 -20.23565 -21.53395
377.00000 -25.00000 -24.66625 -20.23565 -20.64528
378.00000 -20.00000 -23.22869 -17.59582 -23.17647
379.00000 -20.00000 -22.81924 -12.90724 -24.68268
380.00000 -23.00000 -33.17695 -15.30302 -25.07605
381.00000 -29.00000 -33.17695 -25.94009 -26.40359
382.00000 -32.00000 -26.29014 -25.94009 -26.40359
383.00000 -32.00000 -26.29014 -21.87176 -26.04857
384.00000 -27.00000 -21.75535 -18.96242 -22.01621
385.00000 -27.00000 -21.75535 -15.22986 -15.08626
386.00000 -13.00000 -19.16176 -15.88376 -15.68436
387.00000 -12.00000 -18.15724 -15.88376 -15.68436
388.00000 -10.00000 -18.15724 -13.11423 -10.81803
389.00000 -7.00000 -12.63875 -8.58687 -9.03334
390.00000 -7.00000 -9.28131 -6.32134 -9.03334
391.00000 -5.00000 -7.01428 -6.10050 -8.47009
392.00000 -5.00000 -7.06089 -6.10050 -15.71358
393.00000 -3.00000 -7.06089 -7.03076 -18.75842
394.00000 -5.00000 -5.49923 -7.03076 -18.75842
395.00000 -5.00000 -6.74790 -5.92369 -4.82539
396.00000 -4.00000 -6.74790 -3.69374 1.00000
397.00000 0.00000 0.52946 -2.62580 1.00000
398.00000 1.00000 1.00000 1.00000 1.00000
399.00000 -11.00000 -0.91839 0.30723 0.38248
400.00000 -11.00000 -0.91839 0.30723 0.38248
401.00000 -3.00000 1.00000 -6.63737 1.00000
402.00000 -18.00000 -13.90781 -21.60014 1.00000
403.00000 -18.00000 -13.90781 -21.60014 1.00000
404.00000 -4.00000 -11.31994 -19.37708 0.56621
405.00000 -2.00000 1.00000 -1.30134 0.56621
406.00000 -1.00000 1.00000 -1.32610 1.00000
407.00000 -5.00000 -6.87906 -7.73868 1.00000
408.00000 -5.00000 -6.87906 -7.73868 1.00000
409.00000 -3.00000 -2.01408 -2.96929 0.82414
410.00000 -1.00000 -4.10259 -2.92232 -9.06885
411.00000 -20.00000 -9.39806 -2.92232 -9.06885
412.00000 -20.00000 -13.63649 -1.02623 -2.01432
413.00000 -22.00000 -23.78676 -12.36266 -1.87224
